symbol,date,open,high,low,close,volume,adjusted,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-08-20T00:00:00Z,463,473.568,462.9335,473.1,31726797,118.0710690105,118.1878672779,115.5338263068,115.5504226418,126907188,0,1
AAPL,2020-08-21T00:00:00Z,477.05,499.472,477,497.48,84513660,124.1555599479,124.6527012911,119.0443879053,119.0568663527,338054640,0,1
AAPL,2020-08-24T00:00:00Z,514.79,515.14,495.745,503.43,86484442,125.6404951848,128.5629475588,123.7225578241,128.4755984272,345937768,0,1
AAPL,2020-08-25T00:00:00Z,498.79,500.7172,492.21,499.3,52873947,124.6097754321,124.9634645443,122.8403315951,124.4824952689,211495788,0,1
AAPL,2020-08-26T00:00:00Z,504.7165,507.97,500.33,506.09,40755567,126.3043485849,126.773538206,124.8668314479,125.9615656356,163022268,0,1
AAPL,2020-08-27T00:00:00Z,508.57,509.94,495.33,500.04,38888096,124.7944564532,127.2651890323,123.618986711,126.9232795744,155552384,0,1
AAPL,2020-08-28T00:00:00Z,504.05,505.77,498.31,499.23,46907479,124.5923056058,126.2244865217,124.3627021742,125.7952279322,187629916,0,1
AAPL,2020-08-31T00:00:00Z,127.58,131,126,129.04,223505733,128.8175078851,130.7741284327,125.7827494848,127.3600252323,223505733,0,4
AAPL,2020-09-01T00:00:00Z,132.76,134.8,130.53,134.18,152470142,133.9486454435,134.567576433,130.3049388116,132.5310938223,152470142,0,1
AAPL,2020-09-02T00:00:00Z,137.59,137.98,127,131.4,200118991,131.1734387485,137.7420934438,126.7810252744,137.3527658859,200118991,0,1
AAPL,2020-09-03T00:00:00Z,126.91,128.84,120.5,120.88,257599640,120.6715774423,128.6178527272,120.2922326422,126.6911804533,257599640,0,1
AAPL,2020-09-04T00:00:00Z,120.07,123.7,110.89,120.96,332607163,120.7514395054,123.4867151688,110.6988023046,119.8629740527,332607163,0,1
AAPL,2020-09-08T00:00:00Z,113.95,118.99,112.68,112.82,231366563,112.6254745784,118.7848362,112.4857159679,113.7535262206,231366563,0,1
AAPL,2020-09-09T00:00:00Z,117.26,119.14,115.26,117.32,176940455,117.1177156314,118.9345775684,115.0612675049,117.0578190841,176940455,0,1
AAPL,2020-09-10T00:00:00Z,120.36,120.5,112.5,113.49,182274391,113.2943193574,120.2922326422,112.3060263257,120.1524740317,182274391,0,1
AAPL,2020-09-11T00:00:00Z,114.57,115.23,110,112,180860325,111.806888431,115.0313192313,109.8103368518,114.3724572101,180860325,0,1
AAPL,2020-09-14T00:00:00Z,114.72,115.93,112.8,115.355,140150087,115.1561037049,115.7301122839,112.6055090626,114.5221985786,140150087,0,1
AAPL,2020-09-15T00:00:00Z,118.33,118.829,113.61,115.54,184642039,115.340784726,118.6241137979,113.4141124522,118.1259741789,184642039,0,1
AAPL,2020-09-16T00:00:00Z,115.23,116,112.04,112.13,155026675,111.9366642836,115.7999915892,111.8468194626,115.0313192313,155026675,0,1
AAPL,2020-09-17T00:00:00Z,109.72,112.2,108.71,110.34,178010968,110.1497506203,112.0065435889,108.5225610833,109.5308196308,178010968,0,1
AAPL,2020-09-18T00:00:00Z,110.4,110.88,106.09,106.84,287104882,106.6557853568,110.6888195467,105.9070785147,110.2096471677,287104882,0,1
AAPL,2020-09-21T00:00:00Z,104.54,110.19,103.1,110.08,195713815,109.890198915,110.0000092519,102.9222339039,104.3597510408,195713815,0,1
AAPL,2020-09-22T00:00:00Z,112.68,112.86,109.16,111.81,183055373,111.617216031,112.66540561,108.9717851886,112.4857159679,183055373,0,1
AAPL,2020-09-23T00:00:00Z,111.62,112.11,106.77,107.12,150718671,106.9353025779,111.9166987678,106.5859060516,111.4275436309,150718671,0,1
AAPL,2020-09-24T00:00:00Z,105.17,110.25,105,108.22,167743349,108.0334059464,110.0599057992,104.818957904,104.9886647883,167743349,0,1
AAPL,2020-09-25T00:00:00Z,108.43,112.44,107.67,112.28,149981441,112.086405652,112.2461297784,107.4843542622,108.2430438622,149981441,0,1
AAPL,2020-09-28T00:00:00Z,115.01,115.32,112.78,114.96,137672403,114.7617847681,115.1211640523,112.5855435468,114.8116985576,137672403,0,1
AAPL,2020-09-29T00:00:00Z,114.55,115.31,113.57,114.09,100060526,113.8932848312,115.1111812944,113.3741814206,114.3524916944,100060526,0,1
AAPL,2020-09-30T00:00:00Z,113.79,117.26,113.62,115.81,142675184,115.6103191892,117.0578190841,113.4240952101,113.5938020943,142675184,0,1
AAPL,2020-10-01T00:00:00Z,117.64,117.72,115.83,116.79,116120440,116.588629463,117.5170259473,115.630284705,117.4371638841,116120440,0,1
AAPL,2020-10-02T00:00:00Z,112.89,115.37,112.22,113.02,144711986,112.8251297363,115.1710778418,112.0265091047,112.6953538837,144711986,0,1
AAPL,2020-10-05T00:00:00Z,113.91,116.65,113.55,116.5,106243839,116.299129484,116.4488708524,113.3542159048,113.713595189,106243839,0,1
AAPL,2020-10-06T00:00:00Z,115.7,116.12,112.25,113.16,161498212,112.9648883469,115.919784684,112.0564573784,115.5005088523,161498212,0,1
AAPL,2020-10-07T00:00:00Z,114.62,115.55,114.13,115.08,96848985,114.8815778628,115.3507674839,113.9332158627,114.4223709996,96848985,0,1
AAPL,2020-10-08T00:00:00Z,116.25,116.4,114.5901,114.97,83477153,114.771767526,116.199301905,114.3925225535,116.0495605366,83477153,0,1
AAPL,2020-10-09T00:00:00Z,115.28,117,114.92,116.97,100506865,116.7683191051,116.7982673788,114.7218537365,115.0812330207,100506865,0,1
AAPL,2020-10-12T00:00:00Z,120.06,125.18,119.2845,124.4,240226769,124.1855082215,124.9641633374,119.07882842,119.8529912948,240226769,0,1
AAPL,2020-10-13T00:00:00Z,125.27,125.39,119.65,121.1,262330451,120.891198116,125.1738012532,119.4436982211,125.0540081585,262330451,0,1
AAPL,2020-10-14T00:00:00Z,121,123.03,119.62,121.19,151062308,120.981042937,122.8178703898,119.4137499474,120.791370537,151062308,0,1
AAPL,2020-10-15T00:00:00Z,118.72,121.2,118.15,120.71,112559219,120.5018705581,120.9910256949,117.9462845368,118.5153017368,112559219,0,1
AAPL,2020-10-16T00:00:00Z,121.28,121.548,118.81,119.02,115393808,118.8147844737,121.3384256697,118.6051465579,121.0708877581,115393808,0,1
AAPL,2020-10-19T00:00:00Z,119.96,120.419,115.66,115.98,120639337,115.7800260734,120.2113723033,115.4605778208,119.7531637159,120639337,0,1
AAPL,2020-10-20T00:00:00Z,116.2,118.98,115.63,117.51,124423728,117.3073880315,118.7748534421,115.4306295471,115.9996467471,124423728,0,1
